iter	Logloss
0	0.6590009847
1	0.6297903263
2	0.6036902054
3	0.5821420081
4	0.563130223
5	0.547043522
6	0.5348581767
7	0.5241515392
8	0.5143628411
9	0.5052113379
10	0.4972716929
11	0.490440175
12	0.4844234747
13	0.479552864
14	0.4746733958
15	0.4705154499
16	0.468151073
17	0.4645598601
18	0.4619007677
19	0.4586632491
20	0.4560597049
21	0.4527696102
22	0.4508723387
23	0.4480807983
24	0.4460049812
25	0.4445383538
26	0.4421661698
27	0.4403292519
28	0.438338801
29	0.4371034243
30	0.4362413706
31	0.4344742298
32	0.4329898352
33	0.431664563
34	0.4304313614
35	0.4290736629
36	0.4283003088
37	0.4265642007
38	0.4252936884
39	0.4239356784
40	0.4226752864
41	0.4219511595
42	0.420845776
43	0.4202723147
44	0.419123398
45	0.4182969161
46	0.4179791625
47	0.4173138138
48	0.4165590672
49	0.4152636493
50	0.4144397609
51	0.4139594976
52	0.4136418148
53	0.4129254841
54	0.4123181898
55	0.411767422
56	0.4113089816
57	0.4109721408
58	0.4105202639
59	0.4099817651
60	0.4095864509
61	0.4091114773
62	0.4086642244
63	0.408337074
64	0.4078998702
65	0.4075276083
66	0.4071672412
67	0.406997275
68	0.4066412897
69	0.4064052855
70	0.4062556082
71	0.4058963507
72	0.4055987993
73	0.4053423586
74	0.4051410567
75	0.4049602567
76	0.404794119
77	0.4045828518
78	0.4042740209
79	0.4040991588
80	0.4037794744
81	0.4036239621
82	0.4033811672
83	0.4031642245
84	0.4030407528
85	0.4027704805
86	0.4021943403
87	0.402049115
88	0.4018635913
89	0.4017288087
90	0.4015366378
91	0.4014388851
92	0.4012879999
93	0.4011738632
94	0.4010496422
95	0.4009477268
96	0.400859119
97	0.4006870684
98	0.4005580535
99	0.3998956614
100	0.3997274792
101	0.3994845399
102	0.3992822723
103	0.3991550832
104	0.3990927601
105	0.3989504942
106	0.3988311508
107	0.3986690032
108	0.3985654759
109	0.398489293
110	0.3983614876
111	0.3982396976
112	0.3980895286
113	0.3979351714
114	0.3978141713
115	0.3976048371
116	0.3975131015
117	0.3974409726
118	0.3973242451
119	0.397263865
120	0.3971833726
121	0.3971163688
122	0.3970824094
123	0.3969679344
124	0.3967700346
125	0.3966824416
126	0.3965707014
127	0.3964444095
128	0.3962900689
129	0.3962187295
130	0.3961314122
131	0.3960101066
132	0.3959030808
133	0.3956502891
134	0.3955961501
135	0.3955123962
136	0.3954300838
137	0.3953534835
138	0.3953093172
139	0.3951810877
140	0.3950816534
141	0.3950301936
142	0.3948946979
143	0.3948011133
144	0.3947109314
145	0.3946234292
146	0.3945357309
147	0.3944479645
148	0.3943784917
149	0.394303288
150	0.394241922
151	0.3941675617
152	0.3940700748
153	0.3939819977
154	0.3939167215
155	0.3938304726
156	0.3937360781
157	0.3937030376
158	0.3936344678
159	0.3936311459
160	0.3935097293
161	0.3934517454
162	0.3933976933
163	0.3933061343
164	0.3932141816
165	0.3931836507
166	0.3931235198
167	0.3930879301
168	0.393014878
169	0.3928305524
170	0.3927869934
171	0.3927366464
172	0.3926872963
173	0.392641476
174	0.3925814507
175	0.3925396936
176	0.3924744079
177	0.3924107022
178	0.3923816304
179	0.3923184066
180	0.3922516896
181	0.3922052301
182	0.3920346136
183	0.3919812897
184	0.3919507154
185	0.3918654218
186	0.3917975508
187	0.3917554377
188	0.391703129
189	0.3916193334
190	0.3915656405
191	0.3914779714
192	0.3914433728
193	0.3913323056
194	0.391291493
195	0.3910609931
196	0.3909887777
197	0.3909123173
198	0.3908577552
199	0.3907775913
200	0.3907044015
201	0.3906432414
202	0.3905797082
203	0.3905034219
204	0.3903976007
205	0.3903722261
206	0.3902684202
207	0.3901925458
208	0.3900920332
209	0.390001289
210	0.3899454488
211	0.3895229093
212	0.389466014
213	0.3893972931
214	0.3893266475
215	0.3892576202
216	0.3891937882
217	0.3890689941
218	0.3889458542
219	0.3888910861
220	0.3887530414
221	0.3886912639
222	0.3886364939
223	0.388444773
224	0.3884261753
225	0.3883415662
226	0.3882766861
227	0.3881868224
228	0.3879980419
229	0.3878994101
230	0.3878277338
231	0.3877284513
232	0.3874797858
233	0.3873998421
234	0.3873828316
235	0.387338107
236	0.387265114
237	0.3871536384
238	0.3869740423
239	0.3869458157
240	0.3869241069
241	0.3865598124
242	0.38653052
243	0.3864676263
244	0.3864415456
245	0.3863440466
246	0.386298024
247	0.3862530583
248	0.3861562794
249	0.3860878019
250	0.3860191644
251	0.385720688
252	0.3856725428
253	0.3856226751
254	0.3855021027
255	0.3854513015
256	0.385366771
257	0.3851490061
258	0.3851139598
259	0.3850433703
260	0.3850085979
261	0.3849183602
262	0.3847747962
263	0.3847150849
264	0.3846788176
265	0.3846400044
266	0.3845988204
267	0.3844657146
268	0.3844149743
269	0.3843583132
270	0.3842943807
271	0.384265764
272	0.3841885347
273	0.3841332974
274	0.384014938
275	0.3839831102
276	0.383947362
277	0.3838010523
278	0.3837764477
279	0.3834916713
280	0.3834366616
281	0.3834156988
282	0.3833859323
283	0.3833339895
284	0.3832849279
285	0.3832250057
286	0.3831949894
287	0.383174514
288	0.3831611682
289	0.3831272166
290	0.383063928
291	0.3830278026
292	0.3829647516
293	0.3829348812
294	0.3828982263
295	0.3828250962
296	0.3827829536
297	0.3827161791
298	0.3825225504
299	0.3824853766
300	0.3824566986
301	0.38240287
302	0.3823611561
303	0.382326018
304	0.3823046312
305	0.3822684239
306	0.3822202401
307	0.3821977454
308	0.3817313795
309	0.3816883289
310	0.3816439789
311	0.3816013731
312	0.3815118523
313	0.3814688195
314	0.3814028187
315	0.3813436339
316	0.3812553516
317	0.3812190254
318	0.3812075238
319	0.3811200317
320	0.3810917493
321	0.3810631823
322	0.381017414
323	0.3809376582
324	0.38091089
325	0.3808792984
326	0.3807895043
327	0.3807163966
328	0.3806713224
329	0.3806524328
330	0.3805768353
331	0.3805320919
332	0.3805018324
333	0.3804227626
334	0.3803897017
335	0.3803628619
336	0.3803292011
337	0.380252818
338	0.3802093934
339	0.3801632989
340	0.3801317595
341	0.3800913799
342	0.3800743016
343	0.3800155284
344	0.3799373639
345	0.3798970908
346	0.3798407256
347	0.3798074399
348	0.3797901739
349	0.3797626274
350	0.3797295004
351	0.3796886255
352	0.3796252398
353	0.3795940348
354	0.3791143861
355	0.3790642656
356	0.3790190876
357	0.3789820264
358	0.3789054202
359	0.3788881238
360	0.3788133328
361	0.3787758495
362	0.3787442151
363	0.3787101684
364	0.3786534908
365	0.3786223897
366	0.3785889846
367	0.3777602741
368	0.3777367827
369	0.3777214059
370	0.377591516
371	0.3775567909
372	0.3775167753
373	0.3774830947
374	0.3774405624
375	0.3773992446
376	0.3773838623
377	0.3773512447
378	0.3773145388
379	0.3772464797
380	0.3772048164
381	0.377151992
382	0.3771386536
383	0.3770568265
384	0.3770034923
385	0.3769843912
386	0.3769167558
387	0.3768769744
388	0.3768501817
389	0.3764928928
390	0.37646473
391	0.3764457095
392	0.3763751975
393	0.3763585912
394	0.3763314778
395	0.3762983954
396	0.3758508678
397	0.3757948375
398	0.3757407451
399	0.3757109374
400	0.3756844209
401	0.3756510597
402	0.3756466574
403	0.3755843292
404	0.3755349883
405	0.3748751204
406	0.3742348587
407	0.3742137959
408	0.3741686203
409	0.374099698
410	0.3740569219
411	0.374010176
412	0.3738992099
413	0.3738686919
414	0.373836481
415	0.3738131651
416	0.3732884859
417	0.3732602012
418	0.3731320071
419	0.3730751054
420	0.372988928
421	0.3729629723
422	0.3728950322
423	0.3728228685
424	0.3727965221
425	0.3727633512
426	0.3727257766
427	0.3726849765
428	0.3726055599
429	0.3725670858
430	0.3725496195
431	0.3721048647
432	0.3715550979
433	0.3715123034
434	0.3713822562
435	0.3712909521
436	0.3712598953
437	0.3712219067
438	0.3711352232
439	0.3710168215
440	0.3709801449
441	0.3709352538
442	0.3709181406
443	0.3708321717
444	0.3707964798
445	0.3707570056
446	0.370405628
447	0.3703885323
448	0.3703408956
449	0.3702810025
450	0.3702649234
451	0.3702110494
452	0.370182642
453	0.3697403211
454	0.3696772724
455	0.369638775
456	0.3695962295
457	0.3695494385
458	0.3695206324
459	0.3694869514
460	0.369441724
461	0.3694024885
462	0.3693722316
463	0.3693517697
464	0.3693189215
465	0.3692448357
466	0.3690482219
467	0.3690192711
468	0.3690040831
469	0.3689866048
470	0.3689518715
471	0.368916128
472	0.3688965833
473	0.3688556294
474	0.3688385925
475	0.3688121955
476	0.3686648922
477	0.3685875953
478	0.3685558885
479	0.3685092492
480	0.3684854995
481	0.3684433826
482	0.3683626364
483	0.3683414402
484	0.3682900804
485	0.3682408308
486	0.3681977313
487	0.3681446142
488	0.368125374
489	0.3680899363
490	0.3680199698
491	0.3680081533
492	0.3679161893
493	0.3678709197
494	0.36783599
495	0.3677904275
496	0.3677323938
497	0.3672024544
498	0.3667358506
499	0.3667177934
500	0.3666958366
501	0.3666825849
502	0.3666482151
503	0.3666111695
504	0.3665948484
505	0.3665654956
506	0.3665413774
507	0.3665046309
508	0.3664611259
509	0.3664189597
510	0.36637204
511	0.3663506445
512	0.3663120786
513	0.3661810764
514	0.3661415896
515	0.3656823109
516	0.3656632099
517	0.3655948533
518	0.3655478386
519	0.3654898878
520	0.3654774234
521	0.3654336753
522	0.3652988976
523	0.3652746361
524	0.3652488954
525	0.3652031246
526	0.3651729806
527	0.3651544536
528	0.3651131623
529	0.3650748095
530	0.3650139846
531	0.3649652183
532	0.3644909331
533	0.3644609654
534	0.3644413611
535	0.3644106651
536	0.3643680862
537	0.3643362381
538	0.3643158234
539	0.3642732727
540	0.364222013
541	0.3641792394
542	0.3641538558
543	0.364115837
544	0.3640722589
545	0.3640586232
546	0.3640432229
547	0.3640158676
548	0.3639793791
549	0.3639547443
550	0.3638985726
551	0.3638388736
552	0.3638026156
553	0.3637764561
554	0.3637211345
555	0.3636952013
556	0.3636593626
557	0.3636441716
558	0.3635609271
559	0.3635332897
560	0.3635109399
561	0.3634786994
562	0.3634427079
563	0.3633991857
564	0.3633568558
565	0.3633292933
566	0.3632912253
567	0.3631974396
568	0.3631702567
569	0.363134961
570	0.3631174153
571	0.3630835165
572	0.3630499248
573	0.3627588128
574	0.3625638497
575	0.3625395972
576	0.3624682909
577	0.3624442612
578	0.3624113349
579	0.3623552755
580	0.3623153896
581	0.3622806039
582	0.3619753312
583	0.3619456613
584	0.36190098
585	0.3618595271
586	0.3617644133
587	0.3617263705
588	0.3616774743
589	0.3616226544
590	0.3616023787
591	0.3614148754
592	0.3613887879
593	0.3613571679
594	0.3613251987
595	0.360987209
596	0.3606553008
597	0.360317315
598	0.3603015857
599	0.3602804647
600	0.3602390395
601	0.3602005269
602	0.3601859691
603	0.3601430884
604	0.3601126638
605	0.3600756805
606	0.3600517399
607	0.3600136684
608	0.359993736
609	0.3599435807
610	0.359911754
611	0.3598815796
612	0.35986283
613	0.3595877734
614	0.359568911
615	0.3595318238
616	0.3594297194
617	0.3593801362
618	0.3593320718
619	0.3593113105
620	0.3588141057
621	0.3587943454
622	0.3587704289
623	0.3587428718
624	0.3585442873
625	0.358498575
626	0.3584683379
627	0.3584307784
628	0.3583987451
629	0.3583322564
630	0.3583069536
631	0.3582911056
632	0.358257069
633	0.3582168257
634	0.3580252021
635	0.35800501
636	0.3579864036
637	0.3576577098
638	0.3576464546
639	0.3576091475
640	0.3575616424
641	0.3575289012
642	0.3574685907
643	0.3574378367
644	0.357416385
645	0.3573766272
646	0.3573216732
647	0.3572860686
648	0.3572531741
649	0.3572346487
650	0.3572068768
651	0.3571679925
652	0.35714271
653	0.3567216693
654	0.3566749906
655	0.3565323485
656	0.3565049912
657	0.3564785034
658	0.3564639715
659	0.3564505654
660	0.356424012
661	0.356328887
662	0.356312616
663	0.3562871587
664	0.3561203382
665	0.356094068
666	0.3560695987
667	0.3560296906
668	0.3559735777
669	0.3559373116
670	0.3559128259
671	0.3558751487
672	0.3558195045
673	0.3557947261
674	0.3557612037
675	0.3557148551
676	0.3556815402
677	0.3556532941
678	0.3556160138
679	0.3555732924
680	0.3555551408
681	0.3552323673
682	0.3551764559
683	0.3551499871
684	0.3551083232
685	0.3547632497
686	0.354728884
687	0.3546903404
688	0.3546789217
689	0.3546365616
690	0.3546168878
691	0.3545765459
692	0.3545676107
693	0.3545050698
694	0.3544858277
695	0.3544481737
696	0.3544157454
697	0.3543773955
698	0.3543298827
699	0.3543004948
700	0.3542790269
701	0.3542551891
702	0.3542186379
703	0.3541958857
704	0.3541693195
705	0.3541397639
706	0.3541079603
707	0.3540700252
708	0.3540554763
709	0.3540287025
710	0.3539828478
711	0.3539701662
712	0.3539410036
713	0.3538892064
714	0.3538557528
715	0.3538298327
716	0.3537933596
717	0.3536276182
718	0.3535872552
719	0.3535533491
720	0.3535369112
721	0.353513809
722	0.3534858398
723	0.3534620617
724	0.3534455684
725	0.3534153263
726	0.3533954797
727	0.3533718212
728	0.353348529
729	0.3533332681
730	0.3531354826
731	0.3531095861
732	0.3530749914
733	0.353060539
734	0.3530416994
735	0.3529986012
736	0.3527119109
737	0.3526834664
738	0.3526575402
739	0.3523250823
740	0.3522974404
741	0.3522719537
742	0.3520462361
743	0.3520088293
744	0.3519961842
745	0.351933476
746	0.3519005696
747	0.3518657509
748	0.3516817493
749	0.3514674982
750	0.3514170477
751	0.3513851301
752	0.3513352907
753	0.3512957963
754	0.3512542593
755	0.3510384727
756	0.3510054797
757	0.3509571934
758	0.35090787
759	0.3508799673
760	0.3508499138
761	0.3508189737
762	0.3507689604
763	0.3507429165
764	0.3506999645
765	0.3506779116
766	0.3506501294
767	0.3506236598
768	0.35059318
769	0.3505580112
770	0.3505186209
771	0.3504931523
772	0.3504612881
773	0.3504471516
774	0.3504192589
775	0.3503707593
776	0.3503512714
777	0.3503133125
778	0.3502805431
779	0.3502608024
780	0.3501146125
781	0.3500852136
782	0.3500503346
783	0.3499890338
784	0.3499538322
785	0.3499219432
786	0.3498967767
787	0.3498732095
788	0.3495552672
789	0.3495135048
790	0.3494548494
791	0.3494345341
792	0.3494018219
793	0.3493603946
794	0.3493262763
795	0.3493022878
796	0.3492761827
797	0.349242153
798	0.3492289229
799	0.3492115803
800	0.3491902389
801	0.3491748718
802	0.3491424989
803	0.3491157921
804	0.3490835187
805	0.3490665417
806	0.3487245968
807	0.3486331359
808	0.3485956928
809	0.3485590619
810	0.3485206051
811	0.3485002082
812	0.3484612063
813	0.348428444
814	0.348396353
815	0.3483806818
816	0.3483494692
817	0.3483210055
818	0.3483019817
819	0.3482679447
820	0.3482315521
821	0.3481962247
822	0.3481405955
823	0.3481114629
824	0.3480752146
825	0.3480461373
826	0.3480111434
827	0.3479833085
828	0.3478713693
829	0.3478534222
830	0.3478193424
831	0.3477836198
