iter	Passed	Remaining
0	168	168091
1	322	161027
2	434	144250
3	585	145709
4	705	140332
5	831	137737
6	975	138378
7	1034	128295
8	1167	128509
9	1307	129474
10	1498	134766
11	1667	137281
12	1800	136690
13	1947	137159
14	2103	138106
15	2256	138767
16	2291	132509
17	2431	132642
18	2620	135281
19	2762	135339
20	2883	134438
21	3038	135083
22	3169	134644
23	3294	133969
24	3431	133828
25	3584	134269
26	3753	135248
27	3910	135742
28	4095	137135
29	4240	137094
30	4382	136984
31	4564	138074
32	4725	138471
33	4874	138495
34	4991	137624
35	5072	135829
36	5234	136244
37	5390	136455
38	5539	136505
39	5697	136735
40	5822	136182
41	5979	136390
42	6115	136111
43	6290	136675
44	6472	137366
45	6622	137340
46	6754	136964
47	6917	137201
48	7067	137170
49	7290	138523
50	7465	138915
51	7594	138445
52	7718	137912
53	7920	138750
54	8092	139044
55	8275	139495
56	8448	139772
57	8595	139595
58	8784	140111
59	8909	139584
60	9026	138946
61	9216	139441
62	9361	139231
63	9519	139224
64	9676	139191
65	9812	138857
66	9989	139111
67	10126	138794
68	10236	138117
69	10412	138342
70	10562	138200
71	10766	138767
72	10923	138716
73	11068	138500
74	11224	138440
75	11368	138221
76	11509	137966
77	11656	137784
78	11823	137839
79	11956	137501
80	12133	137657
81	12358	138358
82	12517	138295
83	12662	138078
84	12835	138173
85	13010	138276
86	13177	138289
87	13360	138466
88	13504	138229
89	13645	137974
90	13797	137825
91	13926	137449
92	14120	137712
93	14304	137872
94	14452	137680
95	14611	137592
96	14770	137501
97	14924	137369
98	15083	137277
99	15303	137727
100	15478	137777
101	15590	137260
102	15729	136986
103	15891	136910
104	16056	136865
105	16232	136903
106	16430	137128
107	16581	136947
108	16723	136706
109	16914	136853
110	17059	136626
111	17210	136457
112	17332	136048
113	17500	136013
114	17660	135905
115	17861	136117
116	18003	135868
117	18192	135981
118	18397	136204
119	18525	135850
120	18665	135593
121	18855	135696
122	19080	136045
123	19303	136369
124	19492	136445
125	19676	136486
126	19830	136318
127	19983	136140
128	20181	136266
129	20343	136146
130	20464	135755
131	20608	135518
132	20766	135372
133	20943	135349
134	21104	135224
135	21252	135014
136	21404	134830
137	21558	134660
138	21701	134422
139	21882	134420
140	22045	134308
141	22205	134172
142	22400	134244
143	22562	134120
144	22731	134037
145	22881	133838
146	23030	133641
147	23183	133463
148	23290	133023
149	23454	132907
150	23600	132694
151	23737	132428
152	23930	132475
153	24068	132222
154	24220	132042
155	24364	131819
156	24527	131700
157	24686	131559
158	24856	131473
159	24907	130765
160	25081	130702
161	25245	130589
162	25374	130298
163	25528	130135
164	25684	129978
165	25838	129814
166	26018	129780
167	26184	129676
168	26334	129490
169	26533	129547
170	26673	129310
171	26825	129136
172	26961	128886
173	27121	128750
174	27281	128613
175	27445	128495
176	27575	128219
177	27731	128062
178	27894	127941
179	28036	127720
180	28206	127628
181	28374	127529
182	28573	127565
183	28746	127484
184	28844	127071
185	29001	126921
186	29144	126707
187	29331	126688
188	29500	126587
189	29704	126635
190	29864	126495
191	30049	126458
192	30220	126360
193	30365	126156
194	30543	126087
195	30712	125985
196	30844	125726
197	31012	125615
198	31163	125436
199	31328	125315
200	31535	125355
201	31686	125175
202	31868	125120
203	32125	125352
204	32284	125202
205	32441	125040
206	32633	125014
207	32815	124950
208	32981	124823
209	33120	124595
210	33277	124436
211	33452	124343
212	33631	124263
213	33804	124160
214	33943	123932
215	34116	123831
216	34288	123721
217	34471	123655
218	34688	123707
219	34847	123549
220	34989	123332
221	35148	123178
222	35347	123162
223	35555	123175
224	35702	122976
225	35932	123062
226	36112	122974
227	36323	122988
228	36477	122813
229	36660	122732
230	36821	122577
231	37006	122504
232	37227	122548
233	37458	122622
234	37620	122465
235	37771	122276
236	37969	122240
237	38121	122054
238	38276	121877
239	38447	121749
240	38603	121578
241	38865	121735
242	39069	121709
243	39358	121946
244	39535	121835
245	39739	121803
246	39924	121712
247	40177	121827
248	40392	121825
249	40506	121518
250	40669	121361
251	40875	121329
252	41061	121235
253	41266	121199
254	41451	121104
255	41600	120902
256	41975	121352
257	42308	121677
258	42746	122296
259	43150	122813
260	43503	123177
261	43821	123437
262	44158	123743
263	44494	124045
264	44720	124036
265	44956	124052
266	45254	124237
267	45510	124304
268	45686	124151
269	45885	124060
270	46102	124017
271	46280	123867
272	46570	124018
273	46819	124055
274	47042	124021
275	47248	123941
276	47505	123995
277	47791	124119
278	47982	123998
279	48162	123847
280	48349	123712
281	48507	123503
282	48656	123275
283	48845	123145
284	48975	122869
285	49141	122681
286	49301	122479
287	49543	122482
288	49785	122481
289	49980	122367
290	50134	122148
291	50289	121933
292	50479	121805
293	50660	121655
294	50805	121417
295	51007	121314
296	51175	121131
297	51345	120954
298	51615	121011
299	51798	120864
300	52067	120914
301	52323	120933
302	52519	120811
303	52807	120902
304	53107	121014
305	53391	121089
306	53695	121207
307	53919	121144
308	54133	121055
309	54302	120866
310	54525	120798
311	54697	120615
312	54875	120445
313	55042	120251
314	55221	120084
315	55436	119995
316	55588	119768
317	55764	119595
318	55909	119356
319	56110	119234
320	56266	119018
321	56421	118799
322	56580	118591
323	56764	118435
324	57031	118450
325	57262	118389
326	57535	118414
327	57795	118409
328	58023	118339
329	58254	118275
330	58421	118079
331	58573	117853
332	58749	117675
333	58943	117533
334	59141	117399
335	59296	117181
336	59517	117092
337	59800	117123
338	60060	117109
339	60263	116981
340	60517	116952
341	60716	116817
342	60973	116792
343	61172	116654
344	61384	116540
345	61615	116464
346	61842	116377
347	62099	116348
348	62294	116199
349	62546	116156
350	62740	116006
351	62914	115819
352	63107	115667
353	63299	115513
354	63546	115457
355	63810	115431
356	64132	115509
357	64415	115515
