iter	Passed	Remaining
0	173	173770
1	242	121198
2	410	136507
3	557	138796
4	711	141682
5	790	130899
6	933	132386
7	1032	128034
8	1170	128851
9	1329	131669
10	1410	126772
11	1563	128711
12	1697	128851
13	1843	129866
14	1987	130511
15	2138	131526
16	2268	131144
17	2410	131519
18	2563	132367
19	2705	132593
20	2849	132862
21	2992	133027
22	3141	133443
23	3283	133518
24	3423	133503
25	3559	133352
26	3700	133344
27	3825	132807
28	3976	133159
29	4123	133340
30	4276	133676
31	4418	133656
32	4553	133420
33	4710	133842
34	4855	133874
35	5002	133946
36	5119	133254
37	5268	133371
38	5405	133206
39	5546	133107
40	5670	132625
41	5813	132604
42	5956	132569
43	6091	132348
44	6228	132182
45	6375	132221
46	6517	132146
47	6659	132072
48	6810	132187
49	6959	132221
50	7096	132058
51	7240	132007
52	7417	132528
53	7550	132281
54	7686	132071
55	7839	132150
56	7984	132090
57	8141	132233
58	8286	132169
59	8420	131914
60	8551	131635
61	8685	131409
62	8852	131660
63	8988	131461
64	9129	131320
65	9298	131590
66	9435	131389
67	9568	131139
68	9718	131123
69	9813	130381
70	9963	130369
71	10106	130265
72	10255	130229
73	10384	129945
74	10535	129937
75	10676	129807
76	10811	129603
77	10964	129610
78	11108	129500
79	11254	129422
80	11400	129345
81	11546	129263
82	11679	129038
83	11802	128701
84	11937	128500
85	12066	128241
86	12197	128008
87	12350	127992
88	12483	127782
89	12610	127502
90	12766	127527
91	12913	127453
92	13055	127330
93	13187	127101
94	13327	126960
95	13470	126844
96	13608	126683
97	13736	126427
98	13897	126478
99	14063	126575
100	14190	126312
101	14333	126192
102	14479	126100
103	14620	125959
104	14735	125603
105	14879	125496
106	15020	125359
107	15181	125383
108	15325	125271
109	15458	125076
110	15622	125121
111	15773	125064
112	15901	124818
113	16047	124718
114	16189	124589
115	16292	124157
116	16420	123924
117	16537	123609
118	16678	123473
119	16825	123386
120	16951	123146
121	17084	122949
122	17221	122788
123	17340	122502
124	17479	122355
125	17614	122185
126	17774	122180
127	17928	122136
128	18097	122192
129	18259	122199
130	18397	122038
131	18555	122019
132	18678	121763
133	18835	121726
134	18978	121600
135	19129	121531
136	19263	121347
137	19390	121121
138	19528	120966
139	19656	120744
140	19782	120517
141	19921	120369
142	20075	120313
143	20231	120266
144	20376	120148
145	20528	120075
146	20666	119924
147	20803	119759
148	20938	119588
149	21069	119394
150	21206	119231
151	21333	119016
152	21486	118946
153	21612	118729
154	21751	118581
155	21885	118405
156	22042	118355
157	22169	118142
158	22263	117758
159	22383	117515
160	22490	117201
161	22612	116971
162	22740	116772
163	22876	116615
164	23011	116452
165	23141	116264
166	23285	116147
167	23413	115951
168	23526	115683
169	23679	115609
170	23805	115406
171	23916	115133
172	24051	114975
173	24205	114907
174	24365	114865
175	24502	114717
176	24640	114569
177	24785	114459
178	24928	114338
179	25075	114230
180	25206	114056
181	25381	114077
182	25529	113974
183	25665	113819
184	25804	113678
185	25955	113589
186	26094	113447
187	26238	113326
188	26401	113290
189	26543	113158
190	26673	112978
191	26824	112885
192	26952	112697
193	27111	112639
194	27232	112419
195	27376	112301
196	27548	112289
197	27692	112170
198	27838	112051
199	27989	111958
200	28145	111882
201	28290	111759
202	28435	111641
203	28589	111554
204	28735	111438
205	28860	111239
206	29005	111115
207	29144	110973
208	29280	110816
209	29409	110634
210	29565	110555
211	29700	110397
212	29844	110270
213	29996	110172
214	30142	110054
215	30283	109918
216	30422	109774
217	30576	109680
218	30720	109555
219	30870	109448
220	31009	109305
221	31159	109198
222	31300	109060
223	31433	108896
224	31561	108712
225	31709	108597
226	31854	108473
227	31991	108322
228	32127	108166
229	32257	107993
230	32397	107853
231	32537	107711
232	32673	107554
233	32825	107455
234	32980	107362
235	33102	107163
236	33246	107035
237	33393	106915
238	33526	106752
239	33677	106645
240	33818	106508
